time,signal ch.38
0,0.000075758
0.00032768,0.000072387
0.000655361,0.000069258
0.000983041,0.000065322
0.001310721,0.000059493
0.001638401,0.000053205
0.001966082,0.000046275
0.002293762,0.00004062
0.002621442,0.000037824
0.002949122,0.000034872
0.003276803,0.000032327
0.003604483,0.000028846
0.003932163,0.000024433
0.004259843,0.000020808
0.004587524,0.000018045
0.004915204,0.000017084
0.005242884,0.000015215
0.005570564,0.000012706
0.005898245,9.4803E-06
0.006225925,6.1701E-06
0.006553605,3.0746E-06
0.006881285,6.0183E-07
0.007208966,-8.608E-07
0.007536646,-1.8296E-06
0.007864326,-0.000001926
0.008192006,-2.7241E-06
0.008519687,-5.6304E-06
0.008847367,-0.00001025
0.009175047,-0.000013462
0.009502728,-0.000015704
0.009830408,-0.000017501
0.010158088,-0.000015741
0.010485768,-6.9935E-06
0.010813449,4.9011E-06
0.011141129,0.000014778
0.011468809,0.000023771
0.011796489,0.000029035
0.01212417,0.0000323
0.01245185,0.00003212
0.01277953,0.000031438
0.01310721,0.000025148
0.013434891,0.000015147
0.013762571,1.8046E-06
0.014090251,-0.00001001
0.014417931,-0.000019058
0.014745612,-0.000024614
0.015073292,-0.000026362
0.015400972,-0.000026416
0.015728652,-0.000026823
0.016056333,-0.000028855
0.016384013,-0.000033281
0.016711693,-0.000037576
0.017039374,-0.000042077
0.017367054,-0.000046564
0.017694734,-0.0000509
0.018022414,-0.000054671
0.018350095,-0.000057108
0.018677775,-0.000059451
0.019005455,-0.00006246
0.019333135,-0.000065603
0.019660816,-0.000068956
0.019988496,-0.000069524
0.020316176,-0.000069
0.020643856,-0.000068278
0.020971537,-0.000070493
0.021299217,-0.000074311
0.021626897,-0.000077578
0.021954577,-0.00007794
0.022282258,-0.000073699
0.022609938,-0.000068802
0.022937618,-0.0000678
0.023265298,-0.000071835
0.023592979,-0.000078809
0.023920659,-0.000085872
0.024248339,-0.000092207
0.024576019,-0.000094039
0.0249037,-0.000095067
0.02523138,-0.000096575
0.02555906,-0.000096725
0.025886741,-0.000094944
0.026214421,-0.000091232
0.026542101,-0.000089766
0.026869781,-0.000092269
0.027197462,-0.000095106
0.027525142,-0.000097216
0.027852822,-0.00009773
0.028180502,-0.000098984
0.028508183,-0.00010122
0.028835863,-0.00010463
0.029163543,-0.00010738
0.029491223,-0.00011005
0.029818904,-0.00011189
0.030146584,-0.00011236
0.030474264,-0.00011045
0.030801944,-0.00010726
0.031129625,-0.00010539
0.031457305,-0.00010624
0.031784985,-0.00010725
0.032112665,-0.00010765
0.032440346,-0.00010702
0.032768026,-0.00010605
0.033095706,-0.00010592
0.033423386,-0.00010685
0.033751067,-0.0001078
0.034078747,-0.00010661
0.034406427,-0.00010593
0.034734108,-0.00010493
0.035061788,-0.00010467
0.035389468,-0.000105
0.035717148,-0.00010772
0.036044829,-0.00010961
0.036372509,-0.00011086
0.036700189,-0.00011002
0.037027869,-0.00010817
0.03735555,-0.00010802
0.03768323,-0.00010942
0.03801091,-0.0001115
0.03833859,-0.00011277
0.038666271,-0.00011393
0.038993951,-0.0001138
0.039321631,-0.000114
0.039649311,-0.00011556
0.039976992,-0.00011671
0.040304672,-0.00011709
0.040632352,-0.00011599
0.040960032,-0.00011472
0.041287713,-0.00011431
0.041615393,-0.00011298
0.041943073,-0.0001118
0.042270754,-0.00011142
0.042598434,-0.00011376
0.042926114,-0.00011713
0.043253794,-0.00012137
0.043581475,-0.00012399
0.043909155,-0.0001235
0.044236835,-0.00011931
0.044564515,-0.00011721
0.044892196,-0.00011715
0.045219876,-0.0001204
0.045547556,-0.00012399
0.045875236,-0.00012733
0.046202917,-0.0001292
0.046530597,-0.00012948
0.046858277,-0.00012888
0.047185957,-0.00011851
0.047513638,-0.00010361
0.047841318,-0.000091275
0.048168998,-0.000081316
0.048496678,-0.000073779
0.048824359,-0.000069327
0.049152039,-0.00006813
0.049479719,-0.000069092
0.049807399,-0.000070312
0.05013508,-0.000074337
0.05046276,-0.000085567
0.05079044,-0.00010084
0.051118121,-0.00011461
0.051445801,-0.0001223
0.051773481,-0.00012423
0.052101161,-0.00012483
0.052428842,-0.00012501
0.052756522,-0.00012687
0.053084202,-0.00012983
0.053411882,-0.00013284
0.053739563,-0.00013468
0.054067243,-0.00013589
0.054394923,-0.00013637
0.054722603,-0.00013484
0.055050284,-0.00013321
0.055377964,-0.00013265
0.055705644,-0.00013287
0.056033324,-0.0001345
0.056361005,-0.0001366
0.056688685,-0.00014062
0.057016365,-0.00014405
0.057344045,-0.00014743
0.057671726,-0.00014836
0.057999406,-0.0001478
0.058327086,-0.00014691
0.058654766,-0.00014644
0.058982447,-0.00014587
0.059310127,-0.00014613
0.059637807,-0.00014695
0.059965488,-0.00014977
0.060293168,-0.00015447
0.060620848,-0.00015822
0.060948528,-0.00016069
0.061276209,-0.00016339
0.061603889,-0.00016463
0.061931569,-0.00016469
